country_code,year,GDP_growth_pct,country_name,GDP_per_capita_growth_pct,Inflation_CPI_pct,Exports_pct_GDP,Current_Account_pct_GDP,Govt_Expenditure_pct_GDP,External_Debt_pct_GNI,Energy_Use_per_capita,Fuel_Exports_pct_merchandise,Fuel_Imports_pct_merchandise,Official_Exchange_Rate_per_USD
CIV,2015,7.19494942728191,Côte d'Ivoire,4.14232947521536,1.25149954781467,27.3553887828515,-0.439534823506041,13.4545912156732,25.4109025665834,383.889010732408,12.9487994169276,16.7167884519419,591.21169798261
CIV,2016,7.17275963956332,Côte d'Ivoire,4.10858359182184,0.723178457513308,24.9422703076696,-0.855798630849982,13.4001933039204,24.2006866364198,391.655583364613,12.2606024304154,14.6582842139484,592.605615063022
CIV,2017,7.41076242592504,Côte d'Ivoire,4.42161228468103,0.685881065304603,25.4976059509019,-1.99780015304641,14.9472059883342,26.3779718245256,392.588824263082,12.6226345622712,16.6031135973358,580.656749587858
CIV,2018,4.84314605889178,Côte d'Ivoire,2.05334874793748,0.401297817263547,22.6957319368612,-3.90363086723186,14.7370417836244,28.4634771423081,358.54922881191,15.9261119900858,21.7064936678188,555.446458398226
CIV,2019,6.72137167584978,Côte d'Ivoire,3.96244737490909,0.79085551205366,22.6604887650452,-2.23379059024848,13.6271086543806,33.7779620972679,376.743212908005,16.7946232292025,21.0992341882253,585.911013180369
CIV,2020,0.699728593494228,Côte d'Ivoire,-1.81621061689408,2.41252617189052,20.9934684842997,-3.13243536755175,16.0320683194889,41.0439427377816,385.900911896689,10.2772547090229,19.384017616584,575.586004510945
CIV,2021,7.06332910205232,Côte d'Ivoire,4.44709198559022,4.15919657911797,22.2962678369402,-3.94825311453383,16.3773571246349,42.1962341583395,475.7701142407,11.2111608527105,17.2483146754126,554.530675033104
CIV,2022,6.39988362720531,Côte d'Ivoire,3.75602084648943,5.23352856100842,24.2673603262295,-7.60520680486661,18.4136127955891,46.0823328796999,483.894918210023,18.5182878304062,26.9253350820526,623.759700911182
CIV,2023,6.60000045223954,Côte d'Ivoire,3.96403768538988,4.36972254867474,22.4353390507141,-8.05003680066955,17.8812303499603,47.4826411328516,483.503922762538,15.7704493008516,25.4997862286336,606.569750165917
CIV,2024,6.01953461940062,Côte d'Ivoire,3.4679130572198,3.45053028131018,26.0276324688564,-4.46811097764034,,48.8304044647452,,15.1221609102397,26.8631231620144,606.345297609062
CIV,2025,,Côte d'Ivoire,,,,,,,,,,
DZA,2015,3.20000000089023,Algeria,1.09962061859601,4.78444700693889,20.5281416810455,-14.4205446442815,,2.54367171691573,1414.49702064392,95.839787593179,4.51538770001091,100.691433333333
DZA,2016,3.90000000017621,Algeria,1.78594064734014,6.39769480268756,18.4866879717888,-14.4962877563746,,3.04187962008185,1371.20207705232,95.3110605757096,3.31648668286546,109.443066666666
DZA,2017,1.49999999895587,Algeria,-0.541667024495979,5.59111590961663,20.3336795171675,-11.6217683736912,,3.04068276560909,1380.3468180174,96.1115601990579,4.20820484474438,110.973016666666
